Top,Pt,Pd,Fe,Co,Ni,Cu,Ru,Rh,Ag,Au,Label (*),r (*),d-band center (*),Bader (*),E_ads
1,0,3,4,2,0,0,0,1,0,0,3,1.56,-1.0606,0.393594,-0.627949
2,1,3,3,1,0,0,0,2,0,0,8,1.73,-1.4324,-0.226379,-0.604849
3,2,3,2,1,0,0,0,2,0,0,3,1.56,-1.1247,0.525858,-0.696009
4,1,4,2,2,0,0,0,1,0,0,2,1.69,-2.1444,-0.245528,-0.446039
5,2,4,2,1,0,0,0,1,0,0,1,1.77,-2.1348,-0.493281,-0.331669
6,3,2,4,1,0,0,0,0,0,0,4,1.52,-1.1333,0.18234,-0.638799
7,1,5,3,1,0,0,0,0,0,0,2,1.69,-2.0807,-0.280735,-0.517679
8,2,3,2,2,0,0,0,1,0,0,3,1.56,-1.1646,0.533946,-0.713779
9,1,3,2,2,0,0,0,2,0,0,2,1.69,-2.1489,-0.259283,-0.500149
1,0,3,2,0,0,0,0,1,0,4,10,1.74,-3.1439,-0.232681,-0.106459
2,1,3,1,0,0,0,0,2,0,3,8,1.73,-1.1481,0.016471,-0.392939
3,2,3,1,0,0,0,0,2,0,2,10,1.74,-3.1416,-0.207414,-0.080179
4,1,4,2,0,0,0,0,1,0,2,2,1.69,-1.6526,-0.112019,-0.436229
5,2,4,1,0,0,0,0,1,0,2,1,1.77,-1.8147,-0.288186,-0.219699
6,3,2,1,0,0,0,0,0,0,4,3,1.56,-1.3836,0.732383,-0.739479
7,1,5,1,0,0,0,0,0,0,3,2,1.69,-1.6642,-0.042877,-0.214439
8,2,3,2,0,0,0,0,1,0,2,10,1.74,-3.2656,-0.233382,-0.073629
9,1,3,2,0,0,0,0,2,0,2,2,1.69,-1.7921,-0.100868,-0.314549
1,0,3,0,2,0,0,0,0,1,4,10,1.74,-3.0279,-0.184491,-0.160649
2,1,3,0,1,0,0,0,0,2,3,9,1.65,-3.4165,0.160112,-0.368309
3,2,3,0,1,0,0,0,0,2,2,10,1.74,-3.0235,-0.181228,-0.267309
4,1,4,0,2,0,0,0,0,1,2,2,1.69,-1.6331,-0.082908,-0.287309
5,2,4,0,1,0,0,0,0,1,2,1,1.77,-1.6579,-0.267754,-0.379169
6,3,2,0,1,0,0,0,0,0,4,4,1.52,-1.2111,0.512322,-0.688309
7,1,5,0,1,0,0,0,0,0,3,2,1.69,-1.679,-0.033284,-0.259799
8,2,3,0,2,0,0,0,0,1,2,10,1.74,-3.0678,-0.193235,-0.266569
9,1,3,0,2,0,0,0,0,2,2,2,1.69,-1.6454,-0.102338,-0.332109
1,0,3,0,0,0,2,0,0,1,4,10,1.74,-2.8123,-0.15574,-0.295139
2,1,3,0,0,0,1,0,0,2,3,9,1.65,-3.2457,0.176613,-0.383139
3,2,3,0,0,0,1,0,0,2,2,10,1.74,-2.8493,-0.173986,-0.287139
4,1,4,0,0,0,2,0,0,1,2,2,1.69,-1.3059,-0.056447,-0.482139
5,2,4,0,0,0,1,0,0,1,2,1,1.77,-1.4152,-0.226254,-0.453139
6,3,2,0,0,0,1,0,0,0,4,6,1.45,-1.5794,0.339156,-0.555139
7,1,5,0,0,0,1,0,0,0,3,2,1.69,-1.3487,-0.017727,-0.440139
8,2,3,0,0,0,2,0,0,1,2,10,1.74,-2.8014,-0.157631,-0.162159
9,1,3,0,0,0,2,0,0,2,2,2,1.69,-1.3509,-0.071336,-0.507829
1,0,3,2,0,0,0,0,0,1,4,10,1.74,-3.1922,-0.225924,-0.306869
2,1,3,1,0,0,0,0,0,2,3,9,1.65,-3.5387,0.144154,-0.348889
3,2,3,1,0,0,0,0,0,2,2,10,1.74,-3.1455,-0.199028,-0.254779
4,1,4,2,0,0,0,0,0,1,2,2,1.69,-1.7392,-0.120695,-0.458169
5,2,4,1,0,0,0,0,0,1,2,1,1.77,-1.7685,-0.306617,-0.357829
6,3,2,1,0,0,0,0,0,0,4,3,1.56,-1.4169,0.736387,-0.734549
7,1,5,1,0,0,0,0,0,0,3,2,1.69,-1.7587,-0.055888,-0.395069
8,2,3,2,0,0,0,0,0,1,2,10,1.74,-3.2558,-0.215753,-0.274899
9,1,3,2,0,0,0,0,0,2,2,2,1.69,-1.7513,-0.142632,-0.477429
1,0,3,4,0,0,2,0,0,0,1,3,1.56,-1.0491,0.420076,-0.164109
